seller_id,geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.8915148148768,-47.06064831917596
e0eabded302882513ced4ea3eb0c7059,13023,campinas,SP,-22.8915148148768,-47.06064831917596
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.39158443318004,-46.95273192124
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.91081402940236,-43.17722574986539
1d2732ef8321502ee8488e8bed1ab8cd,20031,rio de janeiro,RJ,-22.91081402940236,-43.17722574986539
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-23.65549837024641,-46.61284586955392
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.97157491835839,-46.52621276406485
f44bdc12aa39f5271f0b95f66cd4c289,12914,braganca paulista,SP,-22.97157491835839,-46.52621276406485
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89425806604542,-43.236524638928856
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,-9.024839005157318,-36.57020044972058
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.432198707164872,-50.080240804360585
34056b8b55c1775a22af2331670a799c,16304,penapolis,SP,-21.432198707164872,-50.080240804360585
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-23.567689718564274,-46.63464902928614
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.459256839575296,-49.3156826724855
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR,-25.459256839575296,-49.3156826724855
d1a5cc844736958c11b8efab9a2b4c87,80310,curitiba,PR,-25.459256839575296,-49.3156826724855
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.333314548037364,-48.94851718935772
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.2486635059726,-47.81201890827512
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-23.546416022765257,-46.65091949945175
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.58474847521464,-46.76143852478536
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.46397031112588,-49.018679869409695
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,-12.897090191243208,-38.33828105133945
53243585a1d6dc2643021fd1853d8905,42738,lauro de freitas,BA,-12.897090191243208,-38.33828105133945
